id,title,abstract,categories,year,cleaned_abstract,word_count,char_count,period
1706.00046,"Learning Time/Memory-Efficient Deep Architectures with Budgeted Super
  Networks","We propose to focus on the problem of discovering neural network architectures efficient in terms of both prediction quality and cost. For instance, our approach is able to solve the following tasks: learn a neural network able to predict well in less than 100 milliseconds or learn an efficient model that fits in a 50 Mb memory. Our contribution is a novel family of models called Budgeted Super Networks (BSN). They are learned using gradient descent techniques applied on a budgeted learning objective function which integrates a maximum authorized cost, while making no assumption on the nature of this cost. We present a set of experiments on computer vision problems and analyze the ability of our technique to deal with three different costs: the computation cost, the memory consumption cost and a distributed computation cost. We particularly show that our model can discover neural network architectures that have a better accuracy than the ResNet and Convolutional Neural Fabrics architectures on CIFAR-10 and CIFAR-100, at a lower cost.",['cs.LG'],2017,propose focus problem discovering neural network architectures efficient terms prediction quality cost instance approach able solve following tasks learn neural network able predict well less 100 milliseconds learn efficient model fits 50 mb memory contribution novel family models called budgeted super networks bsn learned using gradient descent techniques applied budgeted learning objective function integrates maximum authorized cost making assumption nature cost present set experiments computer vision problems analyze ability technique deal three different costs computation cost memory consumption cost distributed computation cost particularly show model discover neural network architectures better accuracy resnet convolutional neural fabrics architectures cifar 10 cifar 100 lower cost,167,1049,growth (2015–2017)
1706.00439,Tensor Contraction Layers for Parsimonious Deep Nets,"Tensors offer a natural representation for many kinds of data frequently encountered in machine learning. Images, for example, are naturally represented as third order tensors, where the modes correspond to height, width, and channels. Tensor methods are noted for their ability to discover multi-dimensional dependencies, and tensor decompositions in particular, have been used to produce compact low-rank approximations of data. In this paper, we explore the use of tensor contractions as neural network layers and investigate several ways to apply them to activation tensors. Specifically, we propose the Tensor Contraction Layer (TCL), the first attempt to incorporate tensor contractions as end-to-end trainable neural network layers. Applied to existing networks, TCLs reduce the dimensionality of the activation tensors and thus the number of model parameters. We evaluate the TCL on the task of image recognition, augmenting two popular networks (AlexNet, VGG). The resulting models are trainable end-to-end. Applying the TCL to the task of image recognition, using the CIFAR100 and ImageNet datasets, we evaluate the effect of parameter reduction via tensor contraction on performance. We demonstrate significant model compression without significant impact on the accuracy and, in some cases, improved performance.",['cs.LG'],2017,tensors offer natural representation many kinds data frequently encountered machine learning images example naturally represented third order tensors modes correspond height width channels tensor methods noted ability discover multi dimensional dependencies tensor decompositions particular used produce compact low rank approximations data paper explore use tensor contractions neural network layers investigate several ways apply activation tensors specifically propose tensor contraction layer tcl first attempt incorporate tensor contractions end end trainable neural network layers applied existing networks tcls reduce dimensionality activation tensors thus number model parameters evaluate tcl task image recognition augmenting two popular networks alexnet vgg resulting models trainable end end applying tcl task image recognition using cifar100 imagenet datasets evaluate effect parameter reduction via tensor contraction performance demonstrate significant model compression without significant impact accuracy cases improved performance,190,1324,growth (2015–2017)
1706.00505,"Discriminative conditional restricted Boltzmann machine for discrete
  choice and latent variable modelling","Conventional methods of estimating latent behaviour generally use attitudinal questions which are subjective and these survey questions may not always be available. We hypothesize that an alternative approach can be used for latent variable estimation through an undirected graphical models. For instance, non-parametric artificial neural networks. In this study, we explore the use of generative non-parametric modelling methods to estimate latent variables from prior choice distribution without the conventional use of measurement indicators. A restricted Boltzmann machine is used to represent latent behaviour factors by analyzing the relationship information between the observed choices and explanatory variables. The algorithm is adapted for latent behaviour analysis in discrete choice scenario and we use a graphical approach to evaluate and understand the semantic meaning from estimated parameter vector values. We illustrate our methodology on a financial instrument choice dataset and perform statistical analysis on parameter sensitivity and stability. Our findings show that through non-parametric statistical tests, we can extract useful latent information on the behaviour of latent constructs through machine learning methods and present strong and significant influence on the choice process. Furthermore, our modelling framework shows robustness in input variability through sampling and validation.",['cs.LG'],2017,conventional methods estimating latent behaviour generally use attitudinal questions subjective survey questions may always available hypothesize alternative approach used latent variable estimation undirected graphical models instance non parametric artificial neural networks study explore use generative non parametric modelling methods estimate latent variables prior choice distribution without conventional use measurement indicators restricted boltzmann machine used represent latent behaviour factors analyzing relationship information observed choices explanatory variables algorithm adapted latent behaviour analysis discrete choice scenario use graphical approach evaluate understand semantic meaning estimated parameter vector values illustrate methodology financial instrument choice dataset perform statistical analysis parameter sensitivity stability findings show non parametric statistical tests extract useful latent information behaviour latent constructs machine learning methods present strong significant influence choice process furthermore modelling framework shows robustness input variability sampling validation,192,1420,growth (2015–2017)
1706.00531,PixelGAN Autoencoders,"In this paper, we describe the ""PixelGAN autoencoder"", a generative autoencoder in which the generative path is a convolutional autoregressive neural network on pixels (PixelCNN) that is conditioned on a latent code, and the recognition path uses a generative adversarial network (GAN) to impose a prior distribution on the latent code. We show that different priors result in different decompositions of information between the latent code and the autoregressive decoder. For example, by imposing a Gaussian distribution as the prior, we can achieve a global vs. local decomposition, or by imposing a categorical distribution as the prior, we can disentangle the style and content information of images in an unsupervised fashion. We further show how the PixelGAN autoencoder with a categorical prior can be directly used in semi-supervised settings and achieve competitive semi-supervised classification results on the MNIST, SVHN and NORB datasets.",['cs.LG'],2017,paper describe pixelgan autoencoder generative autoencoder generative path convolutional autoregressive neural network pixels pixelcnn conditioned latent code recognition path uses generative adversarial network gan impose prior distribution latent code show different priors result different decompositions information latent code autoregressive decoder example imposing gaussian distribution prior achieve global vs local decomposition imposing categorical distribution prior disentangle style content information images unsupervised fashion show pixelgan autoencoder categorical prior directly used semi supervised settings achieve competitive semi supervised classification results mnist svhn norb datasets,142,951,growth (2015–2017)
1706.00587,Learning-based Surgical Workflow Detection from Intra-Operative Signals,"A modern operating room (OR) provides a plethora of advanced medical devices. In order to better facilitate the information offered by them, they need to automatically react to the intra-operative context. To this end, the progress of the surgical workflow must be detected and interpreted, so that the current status can be given in machine-readable form. In this work, Random Forests (RF) and Hidden Markov Models (HMM) are compared and combined to detect the surgical workflow phase of a laparoscopic cholecystectomy. Various combinations of data were tested, from using only raw sensor data to filtered and augmented datasets. Achieved accuracies ranged from 64% to 72% for the RF approach, and from 80% to 82% for the combination of RF and HMM.",['cs.LG'],2017,modern operating room provides plethora advanced medical devices order better facilitate information offered need automatically react intra operative context end progress surgical workflow must detected interpreted current status given machine readable form work random forests rf hidden markov models hmm compared combined detect surgical workflow phase laparoscopic cholecystectomy various combinations data tested using raw sensor data filtered augmented datasets achieved accuracies ranged 64 72 rf approach 80 82 combination rf hmm,121,749,growth (2015–2017)
1706.00633,Towards Robust Detection of Adversarial Examples,"Although the recent progress is substantial, deep learning methods can be vulnerable to the maliciously generated adversarial examples. In this paper, we present a novel training procedure and a thresholding test strategy, towards robust detection of adversarial examples. In training, we propose to minimize the reverse cross-entropy (RCE), which encourages a deep network to learn latent representations that better distinguish adversarial examples from normal ones. In testing, we propose to use a thresholding strategy as the detector to filter out adversarial examples for reliable predictions. Our method is simple to implement using standard algorithms, with little extra training cost compared to the common cross-entropy minimization. We apply our method to defend various attacking methods on the widely used MNIST and CIFAR-10 datasets, and achieve significant improvements on robust predictions under all the threat models in the adversarial setting.",['cs.LG'],2017,although recent progress substantial deep learning methods vulnerable maliciously generated adversarial examples paper present novel training procedure thresholding test strategy towards robust detection adversarial examples training propose minimize reverse cross entropy rce encourages deep network learn latent representations better distinguish adversarial examples normal ones testing propose use thresholding strategy detector filter adversarial examples reliable predictions method simple implement using standard algorithms little extra training cost compared common cross entropy minimization apply method defend various attacking methods widely used mnist cifar 10 datasets achieve significant improvements robust predictions threat models adversarial setting,138,962,growth (2015–2017)
1706.00687,Weight Sharing is Crucial to Succesful Optimization,"Exploiting the great expressive power of Deep Neural Network architectures, relies on the ability to train them. While current theoretical work provides, mostly, results showing the hardness of this task, empirical evidence usually differs from this line, with success stories in abundance. A strong position among empirically successful architectures is captured by networks where extensive weight sharing is used, either by Convolutional or Recurrent layers. Additionally, characterizing specific aspects of different tasks, making them ""harder"" or ""easier"", is an interesting direction explored both theoretically and empirically. We consider a family of ConvNet architectures, and prove that weight sharing can be crucial, from an optimization point of view. We explore different notions of the frequency, of the target function, proving necessity of the target function having some low frequency components. This necessity is not sufficient - only with weight sharing can it be exploited, thus theoretically separating architectures using it, from others which do not. Our theoretical results are aligned with empirical experiments in an even more general setting, suggesting viability of examination of the role played by interleaving those aspects in broader families of tasks.",['cs.LG'],2017,exploiting great expressive power deep neural network architectures relies ability train current theoretical work provides mostly results showing hardness task empirical evidence usually differs line success stories abundance strong position among empirically successful architectures captured networks extensive weight sharing used either convolutional recurrent layers additionally characterizing specific aspects different tasks making harder easier interesting direction explored theoretically empirically consider family convnet architectures prove weight sharing crucial optimization point view explore different notions frequency target function proving necessity target function low frequency components necessity sufficient weight sharing exploited thus theoretically separating architectures using others theoretical results aligned empirical experiments even general setting suggesting viability examination role played interleaving aspects broader families tasks,185,1284,growth (2015–2017)
1706.00834,Online Dynamic Programming,"We consider the problem of repeatedly solving a variant of the same dynamic programming problem in successive trials. An instance of the type of problems we consider is to find a good binary search tree in a changing environment.At the beginning of each trial, the learner probabilistically chooses a tree with the $n$ keys at the internal nodes and the $n+1$ gaps between keys at the leaves. The learner is then told the frequencies of the keys and gaps and is charged by the average search cost for the chosen tree. The problem is online because the frequencies can change between trials. The goal is to develop algorithms with the property that their total average search cost (loss) in all trials is close to the total loss of the best tree chosen in hindsight for all trials. The challenge, of course, is that the algorithm has to deal with exponential number of trees. We develop a general methodology for tackling such problems for a wide class of dynamic programming algorithms. Our framework allows us to extend online learning algorithms like Hedge and Component Hedge to a significantly wider class of combinatorial objects than was possible before.",['cs.LG'],2017,consider problem repeatedly solving variant dynamic programming problem successive trials instance type problems consider find good binary search tree changing environmentat beginning trial learner probabilistically chooses tree n keys internal nodes n1 gaps keys leaves learner told frequencies keys gaps charged average search cost chosen tree problem online frequencies change trials goal develop algorithms property total average search cost loss trials close total loss best tree chosen hindsight trials challenge course algorithm deal exponential number trees develop general methodology tackling problems wide class dynamic programming algorithms framework allows us extend online learning algorithms like hedge component hedge significantly wider class combinatorial objects possible,196,1160,growth (2015–2017)
1706.00977,Thompson Sampling for the MNL-Bandit,"We consider a sequential subset selection problem under parameter uncertainty, where at each time step, the decision maker selects a subset of cardinality $K$ from $N$ possible items (arms), and observes a (bandit) feedback in the form of the index of one of the items in said subset, or none. Each item in the index set is ascribed a certain value (reward), and the feedback is governed by a Multinomial Logit (MNL) choice model whose parameters are a priori unknown. The objective of the decision maker is to maximize the expected cumulative rewards over a finite horizon $T$, or alternatively, minimize the regret relative to an oracle that knows the MNL parameters. We refer to this as the MNL-Bandit problem. This problem is representative of a larger family of exploration-exploitation problems that involve a combinatorial objective, and arise in several important application domains. We present an approach to adapt Thompson Sampling to this problem and show that it achieves near-optimal regret as well as attractive numerical performance.",['cs.LG'],2017,consider sequential subset selection problem parameter uncertainty time step decision maker selects subset cardinality k n possible items arms observes bandit feedback form index one items said subset none item index set ascribed certain value reward feedback governed multinomial logit mnl choice model whose parameters priori unknown objective decision maker maximize expected cumulative rewards finite horizon alternatively minimize regret relative oracle knows mnl parameters refer mnl bandit problem problem representative larger family exploration exploitation problems involve combinatorial objective arise several important application domains present approach adapt thompson sampling problem show achieves near optimal regret well attractive numerical performance,167,1049,growth (2015–2017)
1706.00996,"Semi-supervised Classification: Cluster and Label Approach using
  Particle Swarm Optimization","Classification predicts classes of objects using the knowledge learned during the training phase. This process requires learning from labeled samples. However, the labeled samples usually limited. Annotation process is annoying, tedious, expensive, and requires human experts. Meanwhile, unlabeled data is available and almost free. Semi-supervised learning approaches make use of both labeled and unlabeled data. This paper introduces cluster and label approach using PSO for semi-supervised classification. PSO is competitive to traditional clustering algorithms. A new local best PSO is presented to cluster the unlabeled data. The available labeled data guides the learning process. The experiments are conducted using four state-of-the-art datasets from different domains. The results compared with Label Propagation a popular semi-supervised classifier and two state-of-the-art supervised classification models, namely k-nearest neighbors and decision trees. The experiments show the efficiency of the proposed model.",['cs.LG'],2017,classification predicts classes objects using knowledge learned training phase process requires learning labeled samples however labeled samples usually limited annotation process annoying tedious expensive requires human experts meanwhile unlabeled data available almost free semi supervised learning approaches make use labeled unlabeled data paper introduces cluster label approach using pso semi supervised classification pso competitive traditional clustering algorithms new local best pso presented cluster unlabeled data available labeled data guides learning process experiments conducted using four state art datasets different domains results compared label propagation popular semi supervised classifier two state art supervised classification models namely k nearest neighbors decision trees experiments show efficiency proposed model,136,1023,growth (2015–2017)
