period,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
early (1999–2009),0.21086001385441094,0.15809328161127664,0.22632821000778616,0.15766261571535756,0.2470558788111687
growth (2015–2017),0.2213127359168583,0.19668325402586315,0.24455303454009825,0.14191609493778878,0.19553488057939147
mid (2010–2014),0.22619442931265896,0.1503063923562633,0.22016911842319434,0.1550309356797533,0.2482991242281301
recent (2018–2021),0.19687177877045764,0.20663265867126296,0.2395892971064623,0.12797574924459523,0.22893051620722188
